timestamp,date,time,open,high,low,close,volume
2022-08-08 03:00:00,2022-08-08,03:00,41450,42065,41325,41900,296278900
2022-08-08 04:00:00,2022-08-08,04:00,41900,42200,41840,41945,124913600
2022-08-08 05:00:00,2022-08-08,05:00,41945,42435,41915,42375,188072900
2022-08-08 06:00:00,2022-08-08,06:00,42375,42780,42375,42590,281362900
2022-08-08 07:00:00,2022-08-08,07:00,42590,42790,42470,42655,120909600
2022-08-08 08:00:00,2022-08-08,08:00,42655,43070,42400,42760,257991600
2022-08-08 09:00:00,2022-08-08,09:00,42760,42805,42475,42505,120519400
2022-08-08 10:00:00,2022-08-08,10:00,42505,42865,42470,42795,133602100
2022-08-08 11:00:00,2022-08-08,11:00,42795,43420,42755,43380,210308000
2022-08-08 12:00:00,2022-08-08,12:00,43380,43780,42955,43255,288173900
2022-08-08 13:00:00,2022-08-08,13:00,43255,43275,42530,43035,470400100
2022-08-08 14:00:00,2022-08-08,14:00,43035,43140,42740,42800,180930900
2022-08-08 15:00:00,2022-08-08,15:00,42800,43025,42330,42480,226163300
2022-08-08 16:00:00,2022-08-08,16:00,42480,42495,42030,42140,206876900
2022-08-08 17:00:00,2022-08-08,17:00,42140,42340,42020,42255,114004200
2022-08-08 18:00:00,2022-08-08,18:00,42255,42440,41985,42300,116132000
2022-08-08 19:00:00,2022-08-08,19:00,42300,42545,42080,42480,93863500
2022-08-08 20:00:00,2022-08-08,20:00,42480,43125,42385,43120,138635300
2022-08-08 21:00:00,2022-08-08,21:00,43120,43130,42180,42395,145397800
2022-08-08 22:00:00,2022-08-08,22:00,42395,42415,41720,42195,229206100
2022-08-08 23:00:00,2022-08-08,23:00,42195,42510,41975,42175,143261400
2022-08-09 00:00:00,2022-08-09,00:00,42175,42445,41890,42130,82796900
2022-08-09 01:00:00,2022-08-09,01:00,42130,42215,41460,41685,224845400
2022-08-09 02:00:00,2022-08-09,02:00,41685,41945,41610,41945,82022700
2022-08-09 03:00:00,2022-08-09,03:00,41945,42440,41875,42415,173380000
2022-08-09 04:00:00,2022-08-09,04:00,42415,42750,42325,42710,196186300
2022-08-09 05:00:00,2022-08-09,05:00,42710,42745,42515,42540,144905300
2022-08-09 06:00:00,2022-08-09,06:00,42540,42565,42205,42420,127065400
2022-08-09 07:00:00,2022-08-09,07:00,42420,42730,42310,42540,104860200
2022-08-09 08:00:00,2022-08-09,08:00,42540,42575,41990,42075,118627300
2022-08-09 09:00:00,2022-08-09,09:00,42075,42355,41555,41580,290965000
2022-08-09 10:00:00,2022-08-09,10:00,41580,41785,40980,40990,325847300
2022-08-09 11:00:00,2022-08-09,11:00,40990,41255,40645,40820,266774800
2022-08-09 12:00:00,2022-08-09,12:00,40820,41270,40725,41190,136530900
2022-08-09 13:00:00,2022-08-09,13:00,41190,41415,40710,40800,192076400
