
2022-05-12  00.42.08    BenchmarkSAR    bin = 1    fee = 0.0015 - 0.002    2022-05-05 ~  (6) days

147420 loaded. (6 days)
0.001000 / 0.001000 / 0.150000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.001000 / 0.001000 / 0.160000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.001000 / 0.001000 / 0.170000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.001000 / 0.001000 / 0.180000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.001000 / 0.001000 / 0.190000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.003000 / 0.003000 / 0.030000 	 t = 0.0000 / 0.0150 	 c = 165 / 72 / 93 / 0.7742 	 h = -0.0152 / 0.1165 	 p = 0.04 	 avg = 0.00 	 % = 1.0958 / +6.3855
0.003000 / 0.003000 / 0.040000 	 t = 0.0000 / 0.0150 	 c = 171 / 75 / 96 / 0.7813 	 h = -0.0152 / 0.1265 	 p = 0.08 	 avg = 0.00 	 % = 1.1725 / +11.5013
0.003000 / 0.003000 / 0.070000 	 t = 0.0000 / 0.0150 	 c = 177 / 74 / 103 / 0.7184 	 h = -0.0152 / 0.1390 	 p = 0.01 	 avg = 0.00 	 % = 1.0421 / +2.8040
0.004000 / 0.004000 / 0.020000 	 t = 0.0000 / 0.0150 	 c = 166 / 66 / 100 / 0.6600 	 h = -0.0152 / 0.1043 	 p = 0.00 	 avg = 0.00 	 % = 1.0317 / +2.1147
0.004000 / 0.004000 / 0.030000 	 t = 0.0000 / 0.0150 	 c = 191 / 83 / 108 / 0.7685 	 h = -0.0152 / 0.1190 	 p = 0.05 	 avg = 0.00 	 % = 1.1208 / +8.0563
0.004000 / 0.004000 / 0.040000 	 t = 0.0000 / 0.0150 	 c = 203 / 89 / 114 / 0.7807 	 h = -0.0152 / 0.1288 	 p = 0.05 	 avg = 0.00 	 % = 1.1165 / +7.7699
0.005000 / 0.005000 / 0.030000 	 t = 0.0000 / 0.0150 	 c = 215 / 88 / 127 / 0.6929 	 h = -0.0152 / 0.1216 	 p = 0.00 	 avg = 0.00 	 % = 1.0570 / +3.7986
0.005000 / 0.005000 / 0.040000 	 t = 0.0000 / 0.0150 	 c = 233 / 109 / 124 / 0.8790 	 h = -0.0152 / 0.1309 	 p = 0.08 	 avg = 0.00 	 % = 1.1653 / +11.0202
0.005000 / 0.005000 / 0.050000 	 t = 0.0000 / 0.0150 	 c = 237 / 107 / 130 / 0.8231 	 h = -0.0152 / 0.1317 	 p = 0.07 	 avg = 0.00 	 % = 1.1527 / +10.1816
0.005000 / 0.005000 / 0.060000 	 t = 0.0000 / 0.0150 	 c = 241 / 113 / 128 / 0.8828 	 h = -0.0152 / 0.1393 	 p = 0.11 	 avg = 0.00 	 % = 1.2315 / +15.4300
0.005000 / 0.005000 / 0.070000 	 t = 0.0000 / 0.0150 	 c = 243 / 112 / 131 / 0.8550 	 h = -0.0152 / 0.1427 	 p = 0.09 	 avg = 0.00 	 % = 1.2000 / +13.3303
0.005000 / 0.005000 / 0.080000 	 t = 0.0000 / 0.0150 	 c = 243 / 111 / 132 / 0.8409 	 h = -0.0152 / 0.1422 	 p = 0.07 	 avg = 0.00 	 % = 1.1430 / +9.5340
0.005000 / 0.005000 / 0.090000 	 t = 0.0000 / 0.0150 	 c = 245 / 113 / 132 / 0.8561 	 h = -0.0152 / 0.0770 	 p = 0.09 	 avg = 0.00 	 % = 1.1930 / +12.8696
0.005000 / 0.005000 / 0.100000 	 t = 0.0000 / 0.0150 	 c = 245 / 113 / 132 / 0.8561 	 h = -0.0152 / 0.0777 	 p = 0.09 	 avg = 0.00 	 % = 1.1992 / +13.2767
0.005000 / 0.005000 / 0.110000 	 t = 0.0000 / 0.0150 	 c = 245 / 113 / 132 / 0.8561 	 h = -0.0152 / 0.0778 	 p = 0.10 	 avg = 0.00 	 % = 1.2024 / +13.4920
0.005000 / 0.005000 / 0.120000 	 t = 0.0000 / 0.0150 	 c = 245 / 113 / 132 / 0.8561 	 h = -0.0152 / 0.0784 	 p = 0.10 	 avg = 0.00 	 % = 1.2051 / +13.6722
0.005000 / 0.005000 / 0.130000 	 t = 0.0000 / 0.0150 	 c = 245 / 113 / 132 / 0.8561 	 h = -0.0152 / 0.0790 	 p = 0.10 	 avg = 0.00 	 % = 1.2087 / +13.9117
0.005000 / 0.005000 / 0.140000 	 t = 0.0000 / 0.0150 	 c = 245 / 113 / 132 / 0.8561 	 h = -0.0152 / 0.0790 	 p = 0.10 	 avg = 0.00 	 % = 1.2094 / +13.9594
0.005000 / 0.005000 / 0.150000 	 t = 0.0000 / 0.0150 	 c = 245 / 113 / 132 / 0.8561 	 h = -0.0152 / 0.0790 	 p = 0.10 	 avg = 0.00 	 % = 1.2101 / +14.0072
0.005000 / 0.005000 / 0.160000 	 t = 0.0000 / 0.0150 	 c = 245 / 113 / 132 / 0.8561 	 h = -0.0152 / 0.0790 	 p = 0.10 	 avg = 0.00 	 % = 1.2101 / +14.0072
