
2022-05-10  01.38.21    SMA2    bin = 5    fee = 0.0003 - 0.003    2022-05-04 ~  (5) days

1602 loaded. (5 days)
    "failedCount": 13.0,
    "finalPercent": 1.00084472
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 108.0,
    "smaLength2": 36.0,
    "stopX": 0.02,
    "tryCount": 15.0,
    "succeedCount": 6.0,
    "failedCount": 9.0,
    "finalPercent": 1.001114
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 102.0,
    "smaLength2": 12.0,
    "stopX": 0.01,
    "tryCount": 25.0,
    "succeedCount": 11.0,
    "failedCount": 14.0,
    "finalPercent": 1.00129485
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 96.0,
    "smaLength2": 48.0,
    "stopX": 0.0249999985,
    "tryCount": 13.0,
    "succeedCount": 5.0,
    "failedCount": 8.0,
    "finalPercent": 1.00217092
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 60.0,
    "smaLength2": 24.0,
    "stopX": 0.0399999954,
    "tryCount": 24.0,
    "succeedCount": 10.0,
    "failedCount": 14.0,
    "finalPercent": 1.00241983
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 102.0,
    "smaLength2": 45.0,
    "stopX": 0.0299999975,
    "tryCount": 13.0,
    "succeedCount": 3.0,
    "failedCount": 10.0,
    "finalPercent": 1.00286555
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 66.0,
    "smaLength2": 27.0,
    "stopX": 0.0399999954,
    "tryCount": 22.0,
    "succeedCount": 13.0,
    "failedCount": 9.0,
    "finalPercent": 1.00308633
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 96.0,
    "smaLength2": 42.0,
    "stopX": 0.02,
    "tryCount": 16.0,
    "succeedCount": 8.0,
    "failedCount": 8.0,
    "finalPercent": 1.00361013
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 102.0,
    "smaLength2": 45.0,
